"","tag","group","dur","group.size","lunge.depth","dive.depth","max.speed","meta.costs.mean","meta.costs.se","total.meta.cost","lunge_min","meta.costs_min"
"1","Hobo","ChumTB",902,"1",5,10,NA,807.230308500658,12.5205652129758,11956.9553949896,0.532150776053215,795.362886584673
"2","PJ","CohoKB",1107,"",5,10,NA,807.230308500658,12.5205652129758,9739.25740616335,0.16260162601626,527.873030144355
"3","mn14_113b","HerringSC",21817.6,"~2",60.5923769010811,66.38394871,3.84120748656757,1531.01460286375,41.2448335787766,469649.7157442,0.200755353476093,1291.57116019416
"4","mn14_113a","HerringSC",4218.4,"3",67.9767006036364,83.360594945,3.18925885727273,1110.02668104889,17.5866621182489,78882.6350019143,0.156457424615968,1121.97944721099
"5","mn14_110a","HerringSC",14362.4,"2",63.6183938461538,68.346966155,4.12084843589744,1673.6223745961,42.0695438640325,290872.853537301,0.162925416364953,1215.14309671351
"13","mn13_108a","HerringTI",4177.6,"3",32.113594537,37.0622275834671,3.846124358,1489.94110383331,223.342745316265,98257.388428645,0.229797012638836,1411.20339566227
"14","mn13_108a","HerringTI",4585.6,"7",21.4095129223,39.5945645946418,3.2804393523,1193.30819671286,69.975475157051,96393.6910334593,0.157013258897418,1261.25729719286
"15","mn13_113d","HerringTI",8579.8,"~14",20.1519709045333,59.4157913915307,3.66437455073333,1429.25406934651,42.7386351125778,165593.72041078,0.104897550059442,1158.02503842127
"16","mn13_109a","HerringTI",4596,"~2.5",9.71852984555555,16.8023694116125,2.2368494847037,738.202264339108,36.5480777285907,107554.577258169,0.352480417754569,1404.10675271762
"17","mn13_109a","HerringTI",3972.8,"2.5",17.3003587598125,31.2934957781743,3.3145679776875,1293.85174975769,171.732486902935,95163.3841867603,0.241643173580346,1437.22388522091
"18","mn13_112a","HerringTI",17964,"~11",23.5265817142857,35.9608069324427,4.16719345238095,1828.25149900261,81.7638772762733,422746.07357001,0.136940547762191,1411.97753363397
"19","mn13_113a","HerringTI",10798.2,"~11",22.765322751,42.1415370850744,4.513050361,2043.70270401386,122.07719331431,243938.405183182,0.12224259598822,1355.43926867357
"20","mn13_111a","HerringTI",33751,"~11",19.0868329102097,53.6403304634591,3.11869181282258,1102.33104670449,26.5124691441673,653475.037684818,0.108441231370922,1161.69897961806
"8","mn14_114a","KrillSC",3264.05,"2",46.1209534230769,57.425,4.28665,1840.32020763501,48.2419651500811,140053.296491283,0.974249781712903,2574.46968933594
"9","mn12_263a","KrillSS",9016,"1.5",128.6,133.6,NA,923.370094789161,15.2979701081747,232437.59481579,0.964951197870452,1546.83403825947
"10","mn12_264a","KrillSS",6268,"2",150.8,155.8,NA,923.370094789161,15.2979701081747,139426.240272256,0.574345883854499,1334.64812002798
"11","mn12_264b","KrillSS",9192,"2",116.9,121.9,NA,923.370094789161,15.2979701081747,236277.583538761,0.907310704960836,1542.28187688486
"12","mn12_265a","KrillSS",11764,"2.3",135,140,NA,923.370094789161,15.2979701081747,289935.868924376,0.821149268956137,1478.76165721375
"22","mn12_262b","KrillSS",20340,"",NA,NA,NA,923.370094789161,15.2979701081747,NA,0.834808259587021,NA
"23","mn12_262a","KrillSS",19799,"",NA,NA,NA,923.370094789161,15.2979701081747,NA,0.854588615586646,NA
"6","mn13_110a","KrillTI",5450.4,"2",15.69109048244,20.772665478224,2.14126726302,701.977879150467,11.9916947555344,131692.59185724,0.528401585204756,1449.72029785601
"7","mn13_110a","KrillTI",11807.2,"2.5",17.0103545438571,22.9628785200343,2.22324497088889,728.412419220886,7.7980361499236,302755.937352796,0.619960701944576,1538.49822491088
"21","mn14_113b","UNKSC",15180.8,"unk",3.91331557990438,10.49737099,1.87996220707968,614.424700390117,2.76860451787317,377898.925739463,1.11061340640809,1493.59292951411
