prop_captured.vec,speed,Rxn_orig,Rxn,,,,
0.994372753,0.05,0.25,0.25,,,,
0.993195822,0.1,0.25,0.25,,,,
0.987638971,0.25,0.25,0.25,,,,
0.976141713,0.5,0.25,0.25,,,,
0.949464996,1,0.25,0.25,,,,
0.935427638,1.25,0.25,0.25,,,,
0.921202562,1.5,0.25,0.25,,,,
0.892720676,2,0.25,0.25,,,,
0.864837525,2.5,0.25,0.25,,,,
0.838101092,3,0.25,0.25,,,,
0.993154606,0.05,0.5,0.5,,,,
0.989775423,0.1,0.5,0.5,,,,
0.975661865,0.25,0.5,0.5,,,,
0.948330345,0.5,0.5,0.5,,,,
0.890143101,1,0.5,0.5,,,,
0.86146825,1.25,0.5,0.5,,,,
0.833936279,1.5,0.5,0.5,,,,
0.783508302,2,0.5,0.5,,,,
0.739214684,2.5,0.5,0.5,,,,
0.69988523,3,0.5,0.5,,,,
0.989552637,0.05,1,1,,,,
0.979824909,0.1,1,1,,,,
0.945804678,0.25,1,1,,,,
0.884573436,0.5,1,1,,,,
0.771859946,1,1,1,,,,
0.725287679,1.25,1,1,,,,
0.684277801,1.5,1,1,,,,
0.614545864,2,1,1,,,,
0.557466948,2.5,1,1,,,,
0.510649142,3,1,1,,,,
0.984283584,0.05,1.5,1.5,,,,
0.967478289,0.1,1.5,1.5,,,,
0.910917166,0.25,1.5,1.5,,,,
0.815571117,0.5,1.5,1.5,,,,
0.667571001,1,1.5,1.5,,,,
0.61216539,1.25,1.5,1.5,,,,
0.564909794,1.5,1.5,1.5,,,,
0.489600317,2,1.5,1.5,,,,
0.4338219,2.5,1.5,1.5,,,,
0.391739439,3,1.5,1.5,,,,
0.9780286,0.05,3.5,2,,,,3.5
0.953119645,0.1,3.5,2,,,,3.5
0.872055253,0.25,3.5,2,,,,3.5
0.746653658,0.5,3.5,2,,,,3.5
0.576781253,1,3.5,2,,,,
0.517058515,1.25,3.5,2,,,,
0.468655972,1.5,3.5,2,,,,
0.397185102,2,3.5,2,,,,
0.348738401,2.5,3.5,2,,,,
0.569916938,0.5,3.5,3.5,,,,
0.382871748,1,3.5,3.5,,,,
0.334315996,1.25,3.5,3.5,,,,
0.301408062,1.5,3.5,3.5,,,,
0.261046494,2,3.5,3.5,,,,
0.5273881,0.5,4,4,,,,
0.348853459,1,4,4,,,,
0.306516487,1.25,4,4,,,,
0.278500317,1.5,4,4,,,,
0.244633879,2,4,4,,,,
0.492198302,0.5,4.5,4.5,,,,
0.324124901,1,4.5,4.5,,,,
0.286818266,1.25,4.5,4.5,,,,
0.262466287,1.5,4.5,4.5,,,,
0.233240691,2,4.5,4.5,,,,
0.462641792,0.5,5,5,,,,
0.305221589,1,5,5,,,,
0.271979037,1.25,5,5,,,,
0.250463709,1.5,5,5,,,,
0.224740277,2,5,5,,,,
