"","prop_captured.vec","speed.vec","Rxn"
"1",0.994372752755207,0.05,0.25
"2",0.993195821859307,0.1,0.25
"3",0.987638970964544,0.25,0.25
"4",0.976141712867356,0.5,0.25
"5",0.949464996403606,1,0.25
"6",0.935427637836382,1.25,0.25
"7",0.92120256236862,1.5,0.25
"8",0.892720675520642,2,0.25
"9",0.864837525108834,2.5,0.25
"10",0.838101091771518,3,0.25
"11",0.993154606025626,0.05,0.5
"12",0.989775422651636,0.1,0.5
"13",0.975661864834625,0.25,0.5
"14",0.948330344879074,0.5,0.5
"15",0.890143100995336,1,0.5
"16",0.861468250298599,1.25,0.5
"17",0.833936279389281,1.5,0.5
"18",0.783508302275085,2,0.5
"19",0.739214683819442,2.5,0.5
"20",0.699885229866408,3,0.5
"21",0.989552636659025,0.05,1
"22",0.979824909077212,0.1,1
"23",0.94580467831853,0.25,1
"24",0.884573436199967,0.5,1
"25",0.771859946382346,1,1
"26",0.725287679153851,1.25,1
"27",0.684277800919814,1.5,1
"28",0.614545864132763,2,1
"29",0.557466947536736,2.5,1
"30",0.510649142041564,3,1
"31",0.984283583646427,0.05,1.5
"32",0.967478288903321,0.1,1.5
"33",0.910917165517291,0.25,1.5
"34",0.815571117261361,0.5,1.5
"35",0.667571001438252,1,1.5
"36",0.612165389731279,1.25,1.5
"37",0.564909794373977,1.5,1.5
"38",0.489600316728532,2,1.5
"39",0.433821900155345,2.5,1.5
"40",0.391739439324533,3,1.5
