"","group",".energy_m3.mean",".prop_captured.mean",".energy_gain.mean",".energy_m3.se",".prop_captured.se",".energy_gain.se","gross.energy_gainkJ.Lunge.mean","group2","prey","lunge_min","lunge_min.se","meta.costs_min","meta.costs_min.se","meta.costs.mean_lunge","meta.costs.mean_lunge.se","net.energy.gain.kJ_lunge","net.energy.gain.kJ_min","lunge.efficiency"
"7","HerringTI_large",1052.57619866565,1,41555.7083233199,59.7181634626701,0,2357.67309350622,41555.7083233199,"HerringTI_large","Herring",0.118130481295194,0.00730137042459948,192.422001709361,33.875734744234,1600.88482976687,209.323566231856,39954.8234935531,4716.57382308712,25.9579624659018
"5","HerringKB",2374.17218216036,0.212121003534738,19882.5933051257,494.227119128214,0,4138.92340405093,19882.5933051257,"HerringKB","Herring",0.179417634773542,0.0221115818911543,238.740903840299,21.6915576506204,1403.04602656538,111.326147228142,18479.5472785603,3328.5469601296,14.1710200012452
"6","HerringSC",712.945008307573,0.203995334480351,5741.87074060538,28.677675103238,0,230.962418791257,5741.87074060538,"HerringSC","Herring",0.173379398152338,0.0138147376224619,251.249739288789,40.046308973311,1438.22121950291,169.182333044267,4303.64952110247,744.272353985891,3.99234183360882
"8","HerringTI_small",696.304277047341,0.184453888696678,5070.65452825934,36.6686062106496,0,267.029573501166,5070.65452825934,"HerringTI_small","Herring",0.245233465717792,0.0403483662348917,275.678179384869,33.980328949689,1178.82582866074,159.264596764263,3891.82869959859,967.816004037785,4.3014450523366
"2","ChumTB",266.94175083207,0.397323171916372,4187.33341185842,62.3898406171649,0,978.666931502683,4187.33341185842,"ChumTB","Chum Salmon",0.532150776053215,NA,795.362886586276,NA,807.230308503671,12.5205652129547,3380.10310335475,1432.92983812774,5.18728467916462
"10","KrillSS",107.976842345732,0.955419127295675,4072.88078623339,5.62322551995721,0,212.107769400762,4072.88078623339,"KrillSS","Krill",0.826192321802598,0.0548230068333705,1599.96410538908,237.769961957506,1938.57777556033,258.666105326945,2134.30301067306,1765.01872781427,2.10096331319807
"1","ChumKB",159.82665276186,0.443661092051157,2799.48208113065,37.354813779057,0,654.297202696578,2799.48208113065,"ChumTB","Chum Salmon",0.532150776053215,NA,795.362886586276,NA,807.230308503671,12.5205652129547,1992.25177262698,694.383675434471,3.46800913152027
"9","KrillSC",17.4997333002521,0.951621723298731,657.465428710726,0,0,0,657.465428710726,"KrillSC","Krill",0.974249781712903,NA,1792.96832471296,NA,1840.32020763501,NA,-1182.85477892428,-1152.43277430775,0.357255995985413
"4","CohoAtRelease",39.3746449176035,0.335624745935923,521.732353169185,NA,NA,NA,521.732353169185,"CohoKB","Coho Salmon",0.16260162601626,NA,527.873030144845,NA,807.230308503671,12.5205652129547,-285.497955334486,-443.038501174246,0.646324038719877
"3","CohoAfterRelease",35.6715649545314,0.305251948484129,429.890404665874,NA,NA,NA,429.890404665874,"CohoKB","Coho Salmon",0.16260162601626,NA,527.873030144845,NA,807.230308503671,12.5205652129547,-377.339903837797,-457.972151337386,0.532549880916568
