"","term","term"
"1",0,0
"2",698.1,939962
"3",16.4,40268478
"4",191.87,2060439
"5",0,0
"6",0,0
"7",18.1,237700
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",115.148,1193076
"15",0,0
"16",0,0
"17",63.3,276098
"18",2.48,27296476
"19",102.7,3223867
"20",0.49,53677075
"21",0,0
"22",0,0
"23",14.77,39039177.002
"24",0,0
"25",0,0
"26",0,0
"27",424.55,534882
"28",34.69,37600694
"29",195.12,3048496
"30",0,0
"31",0,0
"32",22,180000
"33",0,0
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",38.56,290149
"40",0,0
"41",0,0
"42",60.05,250438
"43",1.34,28444881
"44",74.15,1756854
"45",1.44,75506078
"46",0,0
"47",0,0
"48",30.16825,38900823
"49",0,0
"50",0,0
"51",0,0
"52",330.87,523192
"53",43.24,46246351
"54",285.29,2208774
"55",0,0
"56",0,0
"57",16.19,150460
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",211.756,2014938
"65",0,0
"66",0,0
"67",125.6,402414
"68",3.82,52918721
"69",39.3,4760948
"70",0.52,82734242
"71",0,0
"72",0,0
"73",42.29,40447456
"74",0,0
"75",0,0
"76",0,0
"77",247.06,518278
"78",41.85,34867367
"79",423.12,3136619
"80",0,0
"81",0,0
"82",33.78,139100
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",270.8364,2566910
"90",0,0
"91",0,0
"92",13.55,238629
"93",9.08,31525035
"94",231.22,2462140
"95",2.82,52090334
"96",0,0
"97",0,0
"98",50.13,39654342
"99",0,0
"100",0,0
"101",0,0
"102",334,558227
"103",26.22,26035398
"104",217.59,2684848
"105",0,0
"106",0,0
"107",28.51,211163
"108",0,0
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",238.2,2416868
"115",0,0
"116",0,0
"117",14.7,161355
"118",7.23,25028988
"119",73,1748479
"120",2.09,79659097
"121",0,0
"122",0,0
"123",49.78,42433483
"124",0,0
"125",0,0
"126",0,0
"127",0,0
"128",39.039,28415922
"129",0,0
"130",0,0
"131",NA,NA
"132",0,0
"133",0,0
"134",0,0
"135",0,0
"136",0,0
"137",0,0
"138",0,0
"139",2135.53,2497748
"140",0,0
"141",41.9,507721
"142",0,0
"143",9,22817058
"144",349,1944904
"145",2.09,87664878
"146",0,0
"147",0,0
"148",49.92,NA
"149",0,0
"150",0,0
