Prey Group,Prey.species,Prey,N Prey length,Mean Prey length,SD Prey length,N Energy mass,Mean Wet mass ,Energy,TS,Sv,Data,Prey patches,Prey speed ,SD Prey speed ,Mean Reaction distance,SD Reaction distance ,Whale initial speed (surface),Whale initial speed (subsurface),CaptureProp_subsurface,CaptureProp_surface,Proportion_surface,CaptureProportion_WA
HerringTI_small,Herring,fish,9,217,21,9,117.23,5.4,-40,TI2013Herring_small,TI2013Herring_small,651,1.24,0.3,4,0.1,2.3,4.4,0.2,0.327,0.63,0.28
HerringTI_large,Herring,fish,9,217,21,9,117.23,5.4,-40,TI2013Herring_large,TI2013Herring_large,163,1.24,0.3,4,0.1,3.4,4,0.274,1,0.51,0.644
HerringSC,Herring,fish,6,202,8,6,88.79,5.76,-41,SC2014Herring,SC2014Herring,508,1.16,0.3,4,0.1,2.1,3.7,0.272,0.324,0.03,0.274
HerringKB,Herring,fish,211,196,20,3,44.07,6.61,-42,KB2014Herring,KB2014Herring,26,1.13,0.3,4,0.1,2.3,3.8,0.289,0.355,0.65,0.332
KrillSS,Krill,krill,74,22,5,4 composites,0.11,3.8,-86,SS2012Krill,SS2012Krill,290,0.056,0.014,0.9,0.6,,4.5,0.978,NA,0,0.978
KrillSC,Krill,krill,6,18,3,2 composites,0.07,2.94,-85,SC2014Krill,SC2014Krill,1,0.063,0.011,0.9,0.6,,4.2,0.98,NA,0,0.98
ChumEarly,Chum salmon,fish,36,58,5,7,2.19,3.19,-52,CS2014Chum,CS2014Chum,8,0.22,0.2,1.3,0.03,2.5,,NA,0.937,1,0.937
ChumLate,Chum salmon,fish,136,66,9,9,3.16,4.57,-51,CS2014Chum,CS2014Chum,8,0.25,0.2,1.3,0.03,2.5,,NA,0.929,1,0.929
CohoAtRelease,Coho salmon,fish,9,121,6,9,17.57,5.93,-46,CS2014Coho,none,modeled,0.98,0.8,0.7,0.2,2.5,,NA,0.866,1,0.866
CohoAfterRelease,Coho salmon,fish,9,128,11,9,21.22,4.98,-45,CS2014Coho,none,modeled,1.03,0.8,0.7,0.2,2.5,,NA,0.854,1,0.854
