,Sv_mean
1,-61.854327
2,-62.881286
3,-63.483926
4,-62.384553
5,-63.483926
6,-62.384553
7,-62.384553
8,-62.384553
9,-64.440422
10,-64.547437
11,-68.815017
12,-68.815017
13,-65.212829
14,-64.289782
15,-63.245096
16,-65.232279
17,-55.392915
18,-63.483926
19,-63.483926
20,-63.483926
21,-51.863849
22,-57.922587
23,-62.384553
24,-62.319093
25,-66.653045
26,-62.429895
27,-56.52288
28,-58.930094
29,-58.304847
30,-57.768331
31,-55.267378
32,-58.313548
33,-53.026574
34,-53.026574
35,-58.123141
36,-61.183012
37,-54.081286
38,-61.956676
39,-61.183012
40,-54.081286
41,-58.029623
42,-58.031685
43,-58.031685
44,-56.286581
45,-58.029623
46,-56.011415
47,-58.029623
48,-58.723983
49,-58.029623
50,-58.029623
51,-60.012588
52,-58.791274
53,-57.835257
54,-57.697833
55,-55.853108
56,-59.134564
57,-59.807871
58,-58.874766
59,-58.874766
60,-55.942401
61,-56.517136
62,-55.942401
63,-57.01404
64,-66.398518
65,-61.382561
66,-61.382561
67,-68.057547
68,-53.985312
69,-60.576052
70,-60.545754
71,-60.545754
72,-60.545754
73,-60.545754
74,-61.382561
75,-72.171582
76,-73.260208
77,-73.260208
78,-61.382561
79,-61.382561
80,-73.260208
81,-59.111885
82,-59.111885
83,-59.111885
84,-69.302158
85,-73.260208
86,-73.260208
87,-55.835808
88,-55.741367
89,-58.704995
90,-56.37741
91,-53.512607
92,-60.363981
93,-60.363981
94,-56.37741
95,-56.37741
96,-60.363981
97,-60.363981
98,-60.363981
99,-56.890146
100,-56.890146
101,-55.937762
102,-59.591302
103,-58.344315
104,-55.216667
105,-56.268327
106,-56.58371
107,-61.573997
108,-56.900484
109,-61.254918
110,-58.130356
111,-59.25228
112,-55.638654
113,-56.517542
114,-58.398537
115,-59.103531
116,-64.24209
117,-63.339626
118,-56.827593
119,-56.827593
120,-56.373207
121,-56.799943
122,-56.799943
123,-56.799943
124,-56.799943
125,-55.897594
126,-63.956654
127,-58.130356
128,-58.754302
129,-58.934016
130,-59.336425
131,-81.153183
132,-61.076135
133,-58.10545
134,-60.092491
135,-60.092491
136,-57.379378
137,-56.745785
138,-56.745785
139,-56.745785
140,-57.420481
141,-54.533925
142,-54.533925
143,-56.307972
144,-56.307972
145,-56.307972
146,-57.97084
147,-57.97084
148,-57.97084
149,-57.97084
150,-57.97084
151,-57.97084
152,-56.307972
153,-56.307972
154,-56.307972
155,-57.97084
156,-57.97084
157,-57.97084
158,-57.97084
159,-61.061657
160,-61.061657
161,-61.061657
162,-66.485983
163,-58.558479
164,-59.784387
165,-60.163579
166,-63.420344
167,-60.488276
168,-64.735115
169,-60.488276
170,-63.420344
171,-64.735115
172,-59.784387
173,-59.784387
174,-61.221024
175,-61.221024
176,-67.463758
177,-60.424932
178,-60.424932
179,-62.608188
180,-57.003066
181,-57.788715
182,-57.788715
183,-61.110165
184,-57.449802
185,-57.449802
186,-58.932769
187,-58.932769
188,-57.930219
189,-58.932769
190,-60.030486
191,-57.719771
192,-55.861065
193,-56.78977
194,-56.356392
195,-56.812092
196,-57.22365
197,-59.473015
198,-58.555383
199,-56.432207
200,-56.633766
201,-68.153937
202,-56.526873
203,-59.855533
204,-59.855533
205,-68.205348
206,-61.343531
207,-63.085522
208,-65.533705
209,-68.338987
210,-68.241719
211,-67.006047
212,-62.459239
213,-64.328842
214,-60.452281
215,-69.69833
216,-56.637599
217,-58.079469
218,-60.310496
219,-52.694817
220,-52.410342
221,-54.791464
222,-56.881082
223,-50.220622
224,-51.763007
225,-51.763007
226,-52.888118
227,-50.220622
228,-57.065151
229,-50.220622
230,-51.770587
231,-51.932676
232,-51.932676
233,-63.560282
234,-52.612057
235,-55.180894
236,-55.180894
237,-63.108497
238,-55.484048
239,-55.662074
240,-54.766445
241,-56.333489
242,-56.333489
243,-56.642212
244,-55.358465
245,-52.94876
246,-61.324082
247,-56.7009
248,-60.396605
249,-62.693868
250,-59.751289
251,-55.377013
252,-59.633609
253,-59.751289
254,-61.88777
255,-57.484404
256,-55.867351
257,-51.302092
258,-51.918407
259,-56.952576
260,-52.681015
261,-54.240935
262,-54.240935
263,-52.681015
264,-52.681015
265,-53.379173
266,-57.668579
267,-55.810063
268,-56.902943
269,-58.253446
270,-56.902943
271,-56.902943
272,-54.964405
273,-56.706411
274,-54.632533
275,-55.780765
276,-52.401718
277,-52.877004
278,-53.056903
279,-54.935001
280,-52.212977
281,-51.18945
282,-57.618794
283,-58.101182
284,-55.437799
285,-56.315672
286,-53.649894
287,-63.545824
288,-59.702808
289,-58.297938
290,-53.042081
